sale_id, customer_id, sale_date, store_id, total_amount, discount_amount, payment_method
38, 602, 2024-07-18, 5, 426.63, 15.02, Debit Card
39, 5751, 2024-03-07, 1, 272.2, 4.44, Credit Card
40, 6842, 2024-08-28, 3, 82.56, 34.43, Debit Card
41, 1051, 2023-10-19, 1, 422.78, 14.56, Credit Card
42, 503, 2023-03-07, 7, 78.21, 4.68, Cash
43, 7909, 2023-12-07, 4, 104.55, 46.47, PayPal
44, 601, 2024-07-30, 5, 303.83, 47.48, PayPal
45, 1106, 2023-06-26, 7, 432.71, 10.4, Credit Card
46, 2139, 2023-01-21, 6, 306.33, 24.35, Debit Card
47, 3304, 2023-12-28, 6, 454.29, 42.25, Cash
48, 6248, 2024-04-03, 10, 118.27, 44.38, Cash
49, 4243, 2023-06-09, 8, 482.88, 15.54, Credit Card
50, 4920, 2023-02-07, 1, 70.63, 48.85, Cash
51, 5974, 2024-03-08, 5, 369.72, 29.76, PayPal
52, 349, 2022-12-30, 8, 63.5, 7.37, Debit Card
53, 7325, 2023-06-08, 10, 103.67, 33.22, Debit Card
54, 9916, 2022-11-19, 10, 231.04, 3.77, PayPal
55, 3006, 2023-10-08, 10, 118.05, 49.37, Debit Card
56, 3642, 2023-06-29, 5, 198.39, 27.2, PayPal
57, 5659, 2023-09-14, 4, 160.14, 49.54, PayPal
58, 7026, 2024-07-11, 7, 495.73, 12.69, PayPal
59, 5719, 2024-03-16, 6, 309.31, 15.66, PayPal
60, 6759, 2023-08-24, 8, 212.14, 33.09, Credit Card
61, 2610, 2023-03-17, 4, 477.95, 15.6, PayPal
62, 3108, 2023-12-28, 6, 471.37, 20.87, PayPal
63, 9691, 2023-02-08, 8, 260.07, 30.13, Credit Card
64, 528, 2023-02-05, 2, 434.03, 49.68, Debit Card
65, 6149, 2023-06-07, 2, 92.22, 41.38, Cash
66, 7324, 2023-08-29, 2, 440.01, 5.7, Cash
67, 9293, 2023-07-20, 9, 412.92, 25.46, Debit Card
68, 95, 2022-10-02, 6, 159.17, 39.71, Debit Card
69, 532, 2024-07-01, 10, 499.74, 36.2, Debit Card
70, 8103, 2023-02-27, 4, 159.62, 15.56, Credit Card
71, 3039, 2024-08-11, 8, 197.9, 5.14, Credit Card
72, 1718, 2023-11-26, 7, 440.4, 2.95, Credit Card
73, 4033, 2024-08-13, 3, 450.21, 38.63, Debit Card
74, 6783, 2023-05-09, 10, 408.78, 38.15, PayPal
75, 6347, 2023-05-17, 7, 217.54, 0.14, PayPal
76, 9543, 2023-07-04, 3, 352.03, 5.74, Debit Card
77, 2497, 2024-05-17, 7, 90.08, 43.66, PayPal
78, 8940, 2024-07-15, 1, 222.88, 47.51, Credit Card
79, 3355, 2022-10-11, 9, 386.13, 7.49, PayPal
80, 5781, 2023-05-03, 7, 314.06, 41.61, Cash
81, 1298, 2024-04-15, 5, 217.35, 7.72, PayPal
82, 5229, 2024-04-20, 4, 370.27, 37.6, Cash
83, 1827, 2024-04-17, 10, 277.49, 40.32, Credit Card
84, 7917, 2024-05-27, 4, 487.09, 21.78, Debit Card
85, 7097, 2023-09-10, 5, 386.08, 12.87, Credit Card
86, 2025, 2022-12-17, 9, 232.7, 49.47, Credit Card
87, 6881, 2023-09-10, 1, 87.37, 25.89, Cash
88, 7074, 2023-07-20, 8, 56.06, 36.27, PayPal
89, 9308, 2024-03-11, 5, 484.99, 20.81, Debit Card
90, 5794, 2024-02-14, 8, 178.67, 15.65, Debit Card
91, 5975, 2023-09-04, 9, 401.14, 18.74, Cash
92, 4469, 2022-09-27, 9, 223.23, 32.72, Debit Card
93, 9551, 2022-09-29, 4, 340.66, 5.72, Cash
94, 4182, 2023-04-12, 9, 86.48, 46.29, Credit Card
95, 9358, 2024-05-29, 10, 71.2, 6.7, Credit Card
96, 4642, 2023-01-27, 7, 176.99, 4.65, Cash
97, 3021, 2023-06-25, 4, 173.77, 2.15, Credit Card
98, 9956, 2022-10-14, 10, 263.26, 35.11, Cash
99, 6875, 2023-03-13, 8, 123.62, 9.89, Cash
100, 2044, 2023-11-05, 8, 425.56, 34.37, Credit Card
101, 2502, 2023-01-07, 5, 388.99, 34.89, Credit Card
102, 3645, 2024-06-07, 10, 158.12, 0.61, Debit Card
103, 394, 2022-10-21, 7, 353.56, 25.29, Cash
104, 7922, 2023-08-19, 2, 359.92, 25.97, Credit Card
105, 1256, 2023-11-03, 6, 55.82, 5.46, Cash
106, 6176, 2023-07-18, 7, 310.02, 26.39, PayPal
107, 3974, 2023-06-19, 7, 204.77, 36.46, Credit Card
108, 5578, 2022-11-15, 10, 323.73, 9.49, Cash
109, 1750, 2024-02-25, 3, 362.89, 3.64, Cash
110, 8301, 2023-03-10, 9, 385.02, 12.05, Cash
111, 5425, 2024-04-30, 1, 482.34, 8.84, Debit Card
112, 9955, 2023-03-24, 2, 57.41, 3.84, Credit Card
113, 3846, 2022-11-18, 9, 256.72, 33.25, PayPal
114, 7686, 2022-10-27, 1, 77.92, 42.44, PayPal
115, 1852, 2024-07-18, 10, 405.98, 28.62, Cash
116, 9525, 2022-10-28, 4, 76.18, 25.65, Debit Card
117, 3393, 2024-06-12, 4, 351.83, 1.64, PayPal
118, 3052, 2023-06-10, 5, 76.85, 20.67, Credit Card
119, 9875, 2024-05-07, 5, 463.08, 23.18, PayPal
120, 6534, 2023-06-09, 4, 414.27, 31.46, Credit Card
121, 4975, 2023-07-28, 10, 166.16, 13.58, Cash
122, 9979, 2024-09-16, 3, 458.66, 16.07, PayPal
123, 1976, 2023-05-18, 3, 386.47, 1.61, Debit Card
124, 402, 2023-10-14, 2, 463.28, 21.22, PayPal
125, 7184, 2023-12-02, 3, 450.11, 7.46, PayPal
126, 456, 2024-08-03, 10, 407.96, 15.52, PayPal
127, 4418, 2023-10-02, 8, 497.27, 40.49, Debit Card
128, 5706, 2024-02-15, 10, 241.87, 35.74, Debit Card
129, 7390, 2023-04-05, 4, 405.46, 25.28, Cash
130, 1223, 2023-11-20, 9, 220.83, 9.15, PayPal
131, 7862, 2023-12-19, 1, 45.57, 15.99, PayPal
132, 4867, 2024-03-26, 9, 483.17, 15.38, Cash
133, 7860, 2022-12-16, 1, 310.0, 2.59, Debit Card
134, 6222, 2024-09-12, 6, 155.93, 25.78, Credit Card
135, 6719, 2024-08-10, 4, 300.93, 13.11, PayPal
136, 9400, 2023-04-23, 6, 189.81, 17.9, PayPal
137, 5986, 2023-01-31, 9, 359.51, 6.96, Cash
138, 4512, 2024-07-03, 6, 438.22, 13.37, PayPal
139, 3961, 2023-05-20, 9, 32.69, 34.59, PayPal
140, 2485, 2024-05-19, 9, 157.59, 19.82, PayPal
141, 1208, 2023-07-10, 2, 353.11, 22.19, Cash
142, 4890, 2023-04-24, 7, 204.49, 35.34, PayPal
143, 9640, 2022-12-31, 5, 226.96, 14.46, Debit Card
144, 7902, 2023-01-05, 7, 76.99, 45.51, PayPal
145, 4970, 2024-06-17, 8, 190.55, 7.27, PayPal
146, 2908, 2024-05-05, 6, 343.15, 24.25, PayPal
147, 754, 2024-06-03, 3, 123.86, 11.59, Cash
148, 8271, 2023-09-10, 6, 227.22, 38.75, Cash
149, 7687, 2024-03-29, 6, 128.66, 39.56, Cash
150, 3155, 2023-04-02, 6, 99.64, 7.65, Credit Card
151, 7699, 2024-03-24, 1, 166.7, 19.48, Cash
152, 4563, 2024-09-09, 5, 182.6, 34.4, Cash
153, 4968, 2023-07-23, 9, 357.41, 48.32, Cash
154, 4579, 2024-02-12, 8, 409.32, 43.64, Cash
155, 4758, 2023-12-25, 10, 441.07, 8.55, Credit Card
156, 1400, 2024-06-23, 10, 189.55, 4.09, Credit Card
157, 1017, 2024-07-08, 2, 131.62, 17.53, Cash
158, 4189, 2024-03-08, 1, 37.66, 2.63, Debit Card
159, 4413, 2024-02-19, 4, 134.56, 14.6, Debit Card
160, 5425, 2023-05-08, 7, 268.68, 41.23, Cash
161, 6529, 2024-06-30, 1, 74.62, 28.83, Cash
162, 5281, 2024-09-08, 9, 172.97, 31.52, Credit Card
163, 9436, 2023-10-20, 8, 220.33, 46.1, Cash
164, 9525, 2024-08-20, 1, 208.07, 16.32, Credit Card
165, 7632, 2024-04-06, 6, 392.41, 38.33, Debit Card
166, 526, 2023-01-01, 10, 65.77, 9.07, PayPal
167, 5333, 2024-04-04, 4, 431.1, 34.5, PayPal
168, 8092, 2023-04-23, 4, 104.73, 48.83, PayPal
169, 1973, 2022-12-03, 6, 357.1, 10.62, Cash
170, 5676, 2023-12-14, 1, 175.32, 39.84, Debit Card
171, 1168, 2023-01-04, 4, 114.04, 21.21, Debit Card
172, 8071, 2023-08-01, 4, 231.26, 34.56, Cash
173, 7552, 2023-05-23, 9, 431.96, 16.96, Credit Card
174, 5858, 2023-03-19, 9, 302.83, 22.21, Debit Card
175, 845, 2023-04-30, 10, 195.31, 21.41, Cash
176, 5885, 2024-06-14, 5, 229.45, 38.68, Cash
177, 5614, 2024-05-12, 10, 358.05, 15.03, Cash
178, 1530, 2024-03-18, 7, 411.09, 38.48, Cash
179, 3674, 2023-10-02, 4, 142.69, 0.3, Credit Card
180, 177, 2024-02-12, 5, 244.62, 26.57, Debit Card
181, 5608, 2023-05-01, 10, 92.23, 9.79, Cash
182, 2338, 2023-01-16, 8, 109.69, 22.43, PayPal
183, 3015, 2023-09-04, 8, 47.44, 8.18, Cash
184, 8094, 2023-04-26, 7, 319.97, 27.3, Cash
185, 9449, 2024-08-07, 5, 231.49, 14.73, Debit Card
186, 8417, 2023-08-28, 6, 234.47, 7.81, PayPal
187, 5156, 2024-05-24, 3, 431.32, 25.54, PayPal
188, 2456, 2023-04-23, 8, 144.41, 38.44, PayPal
189, 7373, 2024-01-30, 8, 488.07, 39.72, PayPal
190, 4742, 2024-02-06, 10, 425.66, 29.51, Debit Card
191, 2076, 2023-09-19, 7, 85.82, 20.9, PayPal
192, 1524, 2024-05-28, 1, 82.94, 23.25, PayPal
193, 2698, 2022-11-15, 7, 35.03, 36.11, Cash
194, 3740, 2023-07-26, 3, 338.28, 47.9, Cash
195, 866, 2022-12-31, 8, 212.78, 0.7, Debit Card
196, 1438, 2023-09-21, 5, 372.89, 31.38, Cash
197, 2810, 2024-03-12, 4, 497.38, 6.09, Credit Card
198, 2708, 2023-12-01, 3, 347.73, 44.16, PayPal
199, 4828, 2024-04-03, 9, 48.98, 38.42, Debit Card
200, 3494, 2022-10-28, 6, 76.41, 24.75, PayPal
201, 7170, 2022-11-15, 6, 411.83, 42.9, Cash
202, 339, 2023-02-08, 2, 486.96, 13.73, Credit Card
203, 2425, 2023-11-03, 2, 157.88, 11.03, Debit Card
204, 8046, 2023-06-30, 4, 353.09, 28.3, Cash
205, 4239, 2024-08-28, 2, 386.56, 40.19, Debit Card
206, 4446, 2023-07-23, 6, 217.81, 4.66, Credit Card
207, 3325, 2024-02-08, 1, 483.75, 42.81, Cash
208, 7976, 2023-03-04, 2, 311.5, 30.66, Credit Card
209, 2380, 2023-11-03, 5, 450.97, 41.68, Debit Card
210, 2610, 2023-01-24, 2, 280.28, 18.71, Debit Card
211, 5208, 2023-09-14, 5, 92.77, 29.48, Cash
212, 8932, 2023-03-25, 1, 307.14, 37.55, PayPal
213, 7128, 2024-04-08, 5, 444.79, 25.89, Cash
214, 2015, 2023-06-13, 6, 408.41, 31.78, Cash
215, 9594, 2024-06-11, 6, 147.86, 5.26, PayPal
216, 7116, 2024-04-20, 2, 223.26, 31.63, Credit Card
217, 6956, 2022-10-07, 1, 443.78, 42.81, Credit Card
218, 588, 2023-08-26, 5, 426.38, 40.57, Cash
219, 7519, 2024-01-07, 9, 216.52, 16.19, Cash
220, 5024, 2023-06-25, 4, 418.0, 16.95, Cash
221, 4342, 2023-09-03, 10, 441.53, 0.09, PayPal
222, 5161, 2024-06-30, 9, 298.69, 14.25, PayPal
223, 8195, 2023-10-08, 4, 357.29, 20.5, Credit Card
224, 8730, 2023-01-01, 6, 255.27, 28.75, PayPal
225, 4259, 2023-02-23, 9, 437.81, 18.21, Credit Card
226, 8367, 2023-07-18, 3, 168.29, 45.02, Debit Card
227, 9732, 2023-10-24, 10, 185.09, 7.89, Debit Card
228, 368, 2022-12-25, 1, 296.54, 36.76, PayPal
229, 8033, 2024-07-06, 4, 211.88, 26.02, Cash
230, 5469, 2023-11-17, 4, 494.42, 16.34, PayPal
231, 2473, 2023-12-16, 9, 210.57, 12.82, Debit Card
232, 7256, 2024-09-11, 3, 42.07, 21.27, PayPal
233, 7910, 2024-02-05, 10, 345.63, 20.65, PayPal
234, 8491, 2023-08-06, 5, 386.01, 6.43, Cash
235, 8911, 2023-03-13, 5, 152.66, 37.22, Credit Card
236, 4823, 2022-11-28, 2, 337.51, 24.82, Debit Card
237, 6532, 2024-05-06, 6, 69.08, 34.32, PayPal
238, 8268, 2023-08-04, 2, 286.54, 8.46, Credit Card
239, 7878, 2023-10-27, 6, 485.43, 14.57, Cash
240, 9240, 2023-09-22, 2, 333.95, 31.38, PayPal
241, 8435, 2023-06-22, 3, 258.5, 24.99, PayPal
242, 3956, 2022-10-19, 1, 154.4, 41.81, Credit Card
243, 1323, 2023-10-30, 10, 448.34, 38.79, Cash
244, 9601, 2023-04-17, 10, 118.29, 1.24, PayPal
245, 367, 2024-01-11, 9, 300.05, 6.39, Credit Card
246, 9604, 2023-08-28, 1, 374.36, 22.34, Credit Card
247, 6727, 2023-02-01, 8, 175.12, 39.26, Credit Card
248, 3385, 2023-05-15, 6, 447.65, 26.42, Cash
249, 8996, 2024-01-21, 7, 334.57, 30.54, Credit Card
250, 4834, 2023-10-31, 4, 257.18, 11.91, PayPal
251, 5574, 2024-01-21, 10, 105.08, 31.19, PayPal
252, 706, 2022-11-12, 7, 383.54, 43.4, Credit Card
253, 8663, 2023-12-07, 6, 365.91, 47.8, Credit Card
254, 7579, 2023-10-06, 2, 82.73, 39.65, Credit Card
255, 1021, 2024-06-29, 7, 467.84, 18.1, Debit Card
256, 9166, 2023-06-15, 2, 173.75, 23.43, Cash
257, 4535, 2024-01-08, 7, 23.58, 41.63, Cash
258, 1034, 2023-05-28, 9, 175.45, 39.15, Cash
259, 4848, 2023-06-05, 1, 113.85, 27.13, Cash
260, 5366, 2024-05-28, 4, 60.09, 38.21, PayPal
261, 2303, 2022-09-30, 4, 177.42, 23.69, Cash
262, 1503, 2023-02-08, 9, 251.7, 21.68, Cash
263, 5699, 2024-05-30, 7, 185.1, 5.74, PayPal
264, 3060, 2024-03-27, 5, 302.96, 15.71, PayPal
265, 9080, 2023-08-20, 4, 496.52, 29.81, PayPal
266, 5072, 2023-06-01, 7, 149.08, 19.88, PayPal
267, 8736, 2023-01-12, 1, 38.55, 47.39, Credit Card
268, 3451, 2023-08-20, 10, 388.95, 27.21, Cash
269, 6674, 2023-09-12, 8, 213.25, 5.26, Credit Card
270, 2142, 2022-10-11, 1, 410.91, 33.11, Cash
271, 636, 2024-06-30, 4, 394.84, 46.5, Credit Card
272, 8391, 2023-03-22, 9, 479.28, 30.21, Cash
273, 1484, 2022-10-20, 3, 461.07, 19.84, PayPal
274, 5255, 2024-07-16, 3, 258.5, 27.69, Credit Card
275, 6253, 2023-03-03, 2, 474.39, 28.83, Cash
276, 1031, 2023-05-29, 4, 138.26, 20.32, Cash
277, 9025, 2024-03-09, 10, 394.71, 25.35, Cash
278, 2546, 2024-01-12, 4, 174.53, 18.42, Cash
279, 5615, 2023-02-11, 6, 124.57, 38.41, Credit Card
280, 8013, 2024-01-22, 5, 156.7, 0.63, Debit Card
281, 6966, 2022-10-23, 7, 252.61, 17.47, PayPal
282, 638, 2022-10-21, 9, 367.12, 29.24, Cash
283, 2561, 2024-01-13, 10, 224.56, 21.52, PayPal
284, 7513, 2023-08-11, 7, 209.9, 35.34, Credit Card
285, 5096, 2024-08-25, 2, 196.97, 9.15, Debit Card
286, 7128, 2023-11-26, 6, 78.72, 42.09, Debit Card
287, 3315, 2024-01-03, 8, 426.15, 34.88, Debit Card
288, 7948, 2023-05-11, 3, 497.1, 38.13, Debit Card
289, 7663, 2023-09-21, 9, 392.79, 2.26, PayPal
290, 5250, 2022-12-31, 2, 250.9, 39.57, Credit Card
291, 6882, 2022-09-27, 2, 23.63, 31.27, Credit Card
292, 8125, 2023-08-22, 3, 254.24, 38.34, Cash
293, 9480, 2024-01-23, 9, 260.61, 45.65, Debit Card
294, 6952, 2024-06-09, 3, 439.85, 30.92, Credit Card
295, 3140, 2024-08-09, 3, 461.8, 0.36, Debit Card
296, 6228, 2024-03-29, 7, 408.28, 13.14, PayPal
297, 8101, 2024-06-13, 9, 338.35, 33.58, Cash
298, 5176, 2023-06-06, 10, 376.78, 27.63, Cash
299, 8961, 2022-10-25, 5, 400.23, 20.93, Cash
300, 8845, 2023-02-08, 10, 473.0, 25.16, PayPal
301, 5479, 2022-10-23, 10, 43.95, 30.7, Cash
302, 9160, 2024-04-26, 9, 438.21, 42.23, Cash
303, 2294, 2023-10-01, 2, 263.06, 24.35, PayPal
304, 9554, 2023-08-03, 9, 192.01, 39.66, Debit Card
305, 6472, 2024-02-25, 8, 449.93, 8.2, PayPal
306, 4000, 2024-03-07, 3, 468.48, 37.93, Credit Card
307, 8894, 2023-11-12, 10, 474.64, 15.17, Cash
308, 4159, 2022-10-18, 3, 98.0, 27.45, Cash
309, 6368, 2023-06-29, 8, 248.98, 20.95, Debit Card
310, 1430, 2024-06-06, 1, 255.11, 28.09, Cash
311, 1361, 2024-04-11, 8, 433.16, 3.86, Debit Card
312, 3790, 2023-08-21, 3, 271.75, 12.26, Credit Card
313, 7580, 2024-08-08, 3, 174.83, 2.87, Cash
314, 892, 2024-08-02, 6, 191.22, 14.31, Credit Card
315, 5228, 2024-02-05, 5, 32.31, 16.78, Credit Card
316, 7313, 2023-04-22, 1, 112.65, 16.07, Cash
317, 6739, 2024-04-03, 3, 307.09, 3.67, PayPal
318, 662, 2023-09-18, 8, 307.34, 18.65, Cash
319, 2860, 2022-11-08, 6, 90.9, 21.21, Credit Card
320, 4416, 2024-08-25, 10, 468.31, 32.63, Cash
321, 4307, 2023-06-13, 3, 160.67, 19.78, Cash
322, 2499, 2023-09-10, 7, 202.86, 24.26, PayPal
323, 4052, 2024-09-03, 2, 278.46, 23.0, Cash
324, 9945, 2024-03-11, 1, 422.5, 29.92, PayPal
325, 3697, 2024-09-19, 7, 476.84, 3.16, Cash
326, 1412, 2024-03-22, 9, 29.66, 44.89, Credit Card
327, 5927, 2024-08-08, 2, 136.54, 12.86, Cash
328, 2492, 2024-07-27, 1, 164.63, 9.73, Credit Card
329, 5404, 2022-11-15, 1, 420.03, 47.55, Cash
330, 3184, 2023-10-15, 2, 282.75, 31.2, PayPal
331, 7856, 2024-09-14, 8, 22.81, 35.89, Credit Card
332, 8625, 2024-07-05, 2, 158.68, 43.38, Cash
333, 1925, 2022-11-22, 9, 348.78, 33.93, Debit Card
334, 153, 2022-10-08, 5, 54.83, 5.98, Credit Card
335, 2577, 2023-12-11, 6, 351.5, 33.44, Credit Card
336, 9562, 2023-11-24, 8, 281.58, 14.58, PayPal
337, 6315, 2024-09-18, 2, 372.67, 20.11, Debit Card
338, 1116, 2023-11-18, 7, 182.29, 24.98, Credit Card
339, 6504, 2024-08-27, 5, 465.61, 15.69, Debit Card
340, 6477, 2023-02-06, 9, 233.44, 16.37, PayPal
341, 1786, 2024-08-22, 8, 192.23, 21.89, Debit Card
342, 4557, 2023-07-16, 8, 132.81, 29.89, Credit Card
343, 1498, 2022-12-26, 5, 279.92, 23.56, PayPal
344, 902, 2024-06-12, 2, 97.78, 28.73, Credit Card
345, 5321, 2023-07-10, 9, 440.46, 39.36, Debit Card
346, 4607, 2024-09-07, 3, 301.79, 15.27, Credit Card
347, 1000, 2022-10-31, 2, 271.37, 12.4, PayPal
348, 7306, 2024-09-01, 3, 138.99, 37.51, Debit Card
349, 3008, 2022-10-12, 8, 256.83, 11.15, Debit Card
350, 2157, 2023-08-04, 5, 413.34, 25.65, Cash
351, 664, 2023-12-14, 3, 90.05, 3.82, Cash
352, 7416, 2024-05-03, 7, 305.01, 11.16, Cash
353, 1140, 2022-11-07, 7, 316.97, 22.29, Debit Card
354, 3251, 2022-12-10, 10, 404.73, 25.83, Cash
355, 7932, 2024-02-24, 4, 470.15, 25.78, Cash
356, 8425, 2022-09-25, 5, 174.84, 9.4, Cash
357, 12, 2023-04-18, 6, 137.42, 16.02, Credit Card
358, 2813, 2024-03-26, 9, 404.18, 35.63, Cash
359, 6689, 2024-06-21, 8, 66.55, 25.09, Cash
360, 9619, 2023-06-09, 1, 443.64, 6.02, Credit Card
361, 5287, 2024-05-07, 7, 285.22, 31.96, Cash
362, 4118, 2022-11-08, 5, 337.63, 50.0, Credit Card
363, 3890, 2024-06-05, 1, 400.83, 20.94, Credit Card
364, 5674, 2024-05-21, 10, 413.9, 27.53, Cash
365, 3757, 2023-09-20, 2, 196.6, 44.45, PayPal
366, 7166, 2024-02-01, 7, 157.84, 31.36, PayPal
367, 7469, 2023-11-18, 4, 352.98, 27.01, Cash
368, 3768, 2023-10-27, 2, 268.41, 28.63, Debit Card
369, 6292, 2024-06-28, 4, 287.34, 8.88, Debit Card
370, 578, 2023-11-14, 7, 426.93, 29.54, Debit Card
371, 353, 2024-02-24, 9, 247.12, 43.92, Cash
372, 1288, 2022-10-24, 2, 29.98, 13.87, Credit Card
373, 97, 2023-12-02, 5, 354.81, 16.27, Credit Card
374, 496, 2023-08-12, 2, 389.29, 33.35, Debit Card
375, 6021, 2023-05-11, 10, 66.59, 5.03, Credit Card
376, 2886, 2023-10-07, 3, 41.52, 40.81, Cash
377, 6779, 2024-05-28, 3, 451.59, 23.59, Debit Card
378, 8460, 2023-10-01, 10, 149.86, 33.59, Cash
379, 1617, 2024-07-20, 2, 451.45, 49.56, Debit Card
380, 8841, 2024-08-29, 4, 191.78, 38.74, Debit Card
381, 9436, 2024-05-17, 4, 157.17, 20.39, Cash
382, 9092, 2024-06-25, 4, 131.19, 28.63, PayPal
383, 9470, 2023-07-13, 7, 39.04, 18.3, PayPal
384, 3021, 2023-07-21, 8, 72.38, 42.49, PayPal
385, 6687, 2023-01-09, 6, 346.09, 45.38, PayPal
386, 3294, 2023-04-04, 3, 356.82, 18.38, Credit Card
387, 5493, 2024-05-11, 3, 158.86, 45.58, Debit Card
388, 1827, 2024-08-27, 3, 248.7, 16.5, PayPal
389, 2442, 2022-11-15, 10, 435.06, 32.73, Cash
390, 5773, 2022-12-26, 10, 439.71, 7.29, Debit Card
391, 4300, 2023-05-08, 5, 46.93, 2.65, Credit Card
392, 8283, 2023-09-10, 10, 89.61, 39.36, Credit Card
393, 2566, 2023-12-23, 1, 368.79, 42.95, Debit Card
394, 2072, 2023-03-16, 8, 328.93, 29.3, Credit Card
395, 3539, 2024-09-09, 9, 261.22, 19.3, Debit Card
396, 3274, 2024-06-01, 3, 27.89, 42.94, PayPal
397, 4815, 2022-12-20, 3, 146.01, 39.52, Debit Card
398, 5778, 2023-01-28, 7, 172.06, 38.95, Cash
399, 5580, 2023-11-09, 9, 47.39, 27.01, PayPal
400, 1738, 2023-01-27, 10, 185.46, 49.43, PayPal
401, 3268, 2024-09-05, 5, 445.07, 19.36, Debit Card
402, 9048, 2024-02-09, 8, 334.67, 23.86, Credit Card
403, 9939, 2023-04-13, 1, 206.97, 28.75, Debit Card
404, 2040, 2022-12-18, 1, 40.09, 38.79, Cash
405, 9965, 2023-11-04, 6, 192.9, 17.79, Credit Card
406, 6826, 2024-01-20, 3, 375.73, 42.16, Credit Card
407, 4986, 2022-12-24, 2, 116.19, 8.68, Cash
408, 8795, 2024-02-14, 4, 201.69, 16.51, PayPal
409, 7571, 2024-07-17, 1, 191.32, 12.06, Credit Card
410, 1808, 2023-02-05, 2, 387.2, 5.07, Credit Card
411, 1533, 2024-03-10, 4, 20.69, 36.82, Cash
412, 1385, 2024-04-01, 5, 470.78, 0.07, PayPal
413, 146, 2023-06-21, 5, 77.5, 1.59, Cash
414, 3354, 2024-03-26, 2, 355.81, 46.49, Credit Card
415, 989, 2023-10-10, 2, 334.8, 13.01, Debit Card
416, 6785, 2024-09-01, 5, 203.64, 25.72, Debit Card
417, 3245, 2023-04-05, 2, 38.71, 20.94, Cash
418, 7329, 2024-07-01, 4, 147.77, 23.69, Debit Card
419, 1318, 2023-08-12, 7, 338.53, 21.9, Credit Card
420, 8607, 2024-02-11, 2, 389.34, 37.92, Debit Card
421, 368, 2024-05-04, 5, 128.37, 14.24, Credit Card
422, 3320, 2022-09-22, 9, 87.26, 34.74, Debit Card
423, 569, 2024-01-04, 7, 469.93, 11.55, Credit Card
424, 6986, 2024-07-05, 10, 332.83, 3.35, Debit Card
425, 9236, 2024-06-12, 2, 181.38, 41.4, Debit Card
426, 5828, 2023-04-06, 1, 52.69, 38.45, Cash
427, 6401, 2023-12-17, 4, 79.95, 36.3, Debit Card
428, 1960, 2023-04-14, 5, 497.73, 10.01, PayPal
429, 6850, 2024-02-18, 10, 234.0, 34.5, Credit Card
430, 370, 2024-08-10, 7, 130.74, 32.19, PayPal
431, 9855, 2023-11-26, 7, 48.84, 25.08, Debit Card
432, 8841, 2022-10-12, 1, 303.99, 18.35, Cash
433, 7353, 2024-06-25, 5, 262.46, 13.04, PayPal
434, 2588, 2024-06-09, 1, 123.62, 0.11, PayPal
